base_graph,profile,z,i_ls,cycles,layer_order,acc_instructions,rec_instructions,max_q_slots,max_forward_occupancy
1,full,144,4,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,160,2,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,176,5,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,192,1,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,208,6,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,224,3,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,240,7,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,256,0,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,288,4,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,320,2,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,352,5,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
1,full,384,1,288,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,173,173,10,8
2,single0,2,0,12,0,4,4,4,0
2,single0,3,1,12,0,4,4,4,0
2,single0,4,0,12,0,4,4,4,0
2,single0,5,2,12,0,4,4,4,0
2,single0,6,1,12,0,4,4,4,0
2,single0,7,3,12,0,4,4,4,0
2,single0,8,0,12,0,4,4,4,0
2,single0,9,4,12,0,4,4,4,0
2,single0,10,2,12,0,4,4,4,0
2,single0,11,5,12,0,4,4,4,0
2,single0,12,1,12,0,4,4,4,0
2,single0,13,6,12,0,4,4,4,0
2,single0,14,3,12,0,4,4,4,0
2,single0,15,7,12,0,4,4,4,0
2,single0,16,0,12,0,4,4,4,0
2,single0,18,4,12,0,4,4,4,0
2,single0,20,2,12,0,4,4,4,0
2,single0,22,5,12,0,4,4,4,0
2,single0,24,1,12,0,4,4,4,0
2,single0,26,6,12,0,4,4,4,0
2,single0,28,3,12,0,4,4,4,0
2,single0,30,7,12,0,4,4,4,0
2,single0,32,0,12,0,4,4,4,0
2,single0,36,4,12,0,4,4,4,0
2,single0,40,2,12,0,4,4,4,0
2,single0,44,5,12,0,4,4,4,0
2,single0,48,1,12,0,4,4,4,0
2,single0,52,6,12,0,4,4,4,0
2,single0,56,3,12,0,4,4,4,0
2,single0,60,7,12,0,4,4,4,0
2,single0,64,0,12,0,4,4,4,0
2,single0,72,4,12,0,4,4,4,0
2,single0,80,2,12,0,4,4,4,0
2,single0,88,5,12,0,4,4,4,0
2,single0,96,1,12,0,4,4,4,0
2,single0,104,6,12,0,4,4,4,0
2,single0,112,3,12,0,4,4,4,0
2,single0,120,7,12,0,4,4,4,0
2,single0,128,0,12,0,4,4,4,0
2,single0,144,4,12,0,4,4,4,0
2,single0,160,2,12,0,4,4,4,0
2,single0,176,5,12,0,4,4,4,0
2,single0,192,1,12,0,4,4,4,0
2,single0,208,6,12,0,4,4,4,0
2,single0,224,3,12,0,4,4,4,0
2,single0,240,7,12,0,4,4,4,0
2,single0,256,0,12,0,4,4,4,0
2,single0,288,4,12,0,4,4,4,0
2,single0,320,2,12,0,4,4,4,0
2,single0,352,5,12,0,4,4,4,0
2,single0,384,1,12,0,4,4,4,0
2,full,2,0,228,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,106,106,5,8
2,full,3,1,228,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,106,106,5,8
