profile,base_graph,active_layers,S,Q,valid,decoder_iteration_cycles,total_qc_syndrome_work_items,first_finalized_column_cycle,last_finalized_column_cycle,maximum_syndrome_backlog,maximum_finalized_column_queue_occupancy,required_queue_depth,syndrome_engine_utilization,syndrome_completion_cycle,additional_tail_cycles,effective_iteration_boundary,selected_layer_order
BG1_full,1,all,4,8,False,288,316,77,288,112,10,10,0.330544,316,28,316,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,4,16,True,288,316,77,288,112,10,10,0.330544,316,28,316,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,8,2,False,288,316,77,288,71,8,8,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,8,4,False,288,316,77,288,71,8,8,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,8,8,True,288,316,77,288,71,8,8,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,8,16,True,288,316,77,288,71,8,8,0.179545,297,9,297,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,16,2,False,288,316,77,288,42,4,4,0.092290,291,3,291,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,16,4,True,288,316,77,288,42,4,4,0.092290,291,3,291,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,16,8,True,288,316,77,288,42,4,4,0.092290,291,3,291,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG1_full,1,all,16,16,True,288,316,77,288,42,4,4,0.092290,291,3,291,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45
BG2_single0,2,0,1,2,False,12,8,9,12,5,5,5,1.000000,17,5,17,0
BG2_single0,2,0,1,4,False,12,8,9,12,5,5,5,1.000000,17,5,17,0
BG2_single0,2,0,1,8,True,12,8,9,12,5,5,5,1.000000,17,5,17,0
BG2_single0,2,0,1,16,True,12,8,9,12,5,5,5,1.000000,17,5,17,0
BG2_single0,2,0,2,2,True,12,8,9,12,2,2,2,1.000000,13,1,13,0
BG2_single0,2,0,2,4,True,12,8,9,12,2,2,2,1.000000,13,1,13,0
BG2_single0,2,0,2,8,True,12,8,9,12,2,2,2,1.000000,13,1,13,0
BG2_single0,2,0,2,16,True,12,8,9,12,2,2,2,1.000000,13,1,13,0
BG2_single0,2,0,4,2,True,12,8,9,12,2,2,2,0.500000,13,1,13,0
BG2_single0,2,0,4,4,True,12,8,9,12,2,2,2,0.500000,13,1,13,0
BG2_single0,2,0,4,8,True,12,8,9,12,2,2,2,0.500000,13,1,13,0
BG2_single0,2,0,4,16,True,12,8,9,12,2,2,2,0.500000,13,1,13,0
BG2_single0,2,0,8,2,True,12,8,9,12,2,2,2,0.250000,13,1,13,0
BG2_single0,2,0,8,4,True,12,8,9,12,2,2,2,0.250000,13,1,13,0
BG2_single0,2,0,8,8,True,12,8,9,12,2,2,2,0.250000,13,1,13,0
BG2_single0,2,0,8,16,True,12,8,9,12,2,2,2,0.250000,13,1,13,0
BG2_single0,2,0,16,2,True,12,8,9,12,2,2,2,0.125000,13,1,13,0
BG2_single0,2,0,16,4,True,12,8,9,12,2,2,2,0.125000,13,1,13,0
BG2_single0,2,0,16,8,True,12,8,9,12,2,2,2,0.125000,13,1,13,0
BG2_single0,2,0,16,16,True,12,8,9,12,2,2,2,0.125000,13,1,13,0
BG2_full,2,all,1,2,False,228,197,45,228,121,12,12,0.648026,349,121,349,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,1,4,False,228,197,45,228,121,12,12,0.648026,349,121,349,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,1,8,False,228,197,45,228,121,12,12,0.648026,349,121,349,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,1,16,True,228,197,45,228,121,12,12,0.648026,349,121,349,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,2,2,False,228,197,45,228,111,12,12,0.412134,284,56,284,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,2,4,False,228,197,45,228,111,12,12,0.412134,284,56,284,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,2,8,False,228,197,45,228,111,12,12,0.412134,284,56,284,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,2,16,True,228,197,45,228,111,12,12,0.412134,284,56,284,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
BG2_full,2,all,4,2,False,228,197,45,228,91,10,10,0.239078,251,23,251,0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41
