label,model,EbN0_dB,blocks,block_errors,BLER,bit_errors_info,BER,avg_iterations,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,expected_core_cycles,worst_configured_core_cycles,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,layer_order,iteration_boundary_cycles
float,float,4.9,8,0,0.00000000,0,0.0000000000,2.875000,2.875000,3,0.000000,0,8,0,0,0,0,0,0.000000,0.000000,204.125,852,BG1_full,float,,,,,,0.25,natural,71
C,fixed,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,355,77532,0,293420,1.000000,46413.375000,213.000,852,BG1_full,C,5,7,7,6,1.25,0,natural,71
D,fixed,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,355,24998,810795,82036,1.000000,114773.000000,213.000,852,BG1_full,D,5,8,8,6,1.25,0,natural,71
E,fixed,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,355,0,810795,83518,1.000000,111833.500000,213.000,852,BG1_full,E,5,8,9,6,1.25,0,natural,71
float,float,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,0,0,0,0,0.000000,0.000000,213.000,852,BG2_full,float,,,,,,0.25,natural,71
C,fixed,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,1,29421,0,64123,1.000000,11693.125000,213.000,852,BG2_full,C,5,7,7,6,1.25,0,natural,71
D,fixed,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,1,1236,310201,1790,1.000000,39153.500000,213.000,852,BG2_full,D,5,8,8,6,1.25,0,natural,71
E,fixed,4.9,8,0,0.00000000,0,0.0000000000,3.000000,3.000000,3,0.000000,0,8,0,1,0,310201,1876,1.000000,39009.750000,213.000,852,BG2_full,E,5,8,9,6,1.25,0,natural,71
