cycle_rank,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,first_final_cycle,last_final_cycle,syndrome_completion_cycle,required_queue_depth,max_syndrome_backlog,RAW_stalls,APP_bank_stalls,forwarded_APP_reads,max_live_forward_vectors
1,0-2-1-3,70,8,8,True,1,71,50,70,71,2,7,16,0,32,8
2,3-2-1-0,70,8,8,True,1,71,43,70,71,2,6,16,0,29,8
3,1-2-3-0,71,8,8,True,1,72,40,71,72,2,7,17,0,28,8
4,1-3-2-0,71,8,8,True,1,72,53,71,72,2,7,17,0,27,8
5,3-2-0-1,71,8,8,True,1,72,41,71,72,2,7,17,0,26,8
6,0-2-3-1,72,8,8,True,1,73,54,72,73,2,7,18,0,33,8
7,1-2-0-3,72,8,8,True,1,73,38,72,73,2,7,18,0,26,8
8,0-3-2-1,73,8,8,True,1,74,55,73,74,2,7,19,0,25,8
9,1-0-3-2,73,8,8,True,1,74,43,73,74,2,7,19,0,24,8
10,2-0-3-1,73,8,8,True,1,74,53,73,74,2,7,19,0,31,8
11,2-1-0-3,73,8,8,True,1,74,41,73,74,2,7,19,0,28,8
12,2-3-1-0,73,8,8,True,1,74,42,73,74,2,6,19,1,31,8
13,3-1-2-0,73,8,8,True,1,74,54,73,74,2,7,19,0,28,8
14,0-3-1-2,74,8,8,True,1,75,56,74,75,2,7,20,0,26,8
15,3-1-0-2,74,8,8,True,1,75,55,74,75,2,7,20,0,27,8
16,1-3-0-2,75,8,8,True,1,76,54,75,76,2,7,21,0,25,8
17,2-0-1-3,75,8,8,True,1,76,53,75,76,2,7,21,0,26,8
18,2-1-3-0,75,8,8,True,1,76,44,75,76,2,7,21,0,24,8
19,2-3-0-1,75,8,8,True,1,76,41,75,76,2,7,21,0,27,8
20,3-0-1-2,75,8,8,True,1,76,57,75,76,2,7,21,0,21,8
21,0-1-2-3,76,8,8,True,1,77,45,76,77,2,7,22,0,23,8
22,1-0-2-3,76,8,8,True,1,77,41,76,77,2,7,22,0,27,8
23,3-0-2-1,76,8,8,True,1,77,54,76,77,2,7,22,0,22,8
24,0-1-3-2,77,8,8,True,1,78,45,77,78,2,7,23,0,21,8
