stage,EbN0_dB,left_order,right_order,blocks,left_block_errors,right_block_errors,left_BLER,right_BLER,left_error_right_clean,left_clean_right_error,delta_BLER_right_minus_left,mcnemar_exact_p,mean_iteration_delta_right_minus_left,se_iteration_delta,mean_latency_delta_right_minus_left,se_latency_delta
confirmation,4.4,1-3-2-0,3-2-1-0,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.546500,0.014475,32.825,1.035
confirmation,4.4,1-3-2-0,0-1-2-3,2000,1,1,0.00050000,0.00050000,0,0,0.00000000,1.00000000,0.280500,0.013875,51.481,1.042
confirmation,4.4,1-2-3-0,1-2-0-3,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.012500,0.014169,6.928,1.029
confirmation,4.4,1-2-3-0,1-0-3-2,2000,1,2,0.00050000,0.00100000,0,1,0.00050000,1.00000000,0.001000,0.014920,12.106,1.091
confirmation,4.4,1-2-3-0,1-3-0-2,2000,1,2,0.00050000,0.00100000,0,1,0.00050000,1.00000000,-0.067500,0.014233,18.934,1.056
confirmation,4.4,1-2-3-0,0-2-1-3,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.462500,0.013889,26.822,0.994
confirmation,4.4,1-2-3-0,3-2-1-0,2000,1,3,0.00050000,0.00150000,0,2,0.00100000,0.50000000,0.507000,0.014970,29.981,1.071
confirmation,4.4,1-2-3-0,0-1-2-3,2000,1,1,0.00050000,0.00050000,0,0,0.00000000,1.00000000,0.241000,0.009721,48.637,0.735
confirmation,4.4,1-2-0-3,1-0-3-2,2000,3,2,0.00150000,0.00100000,2,1,-0.00050000,1.00000000,-0.011500,0.014859,5.178,1.092
confirmation,4.4,1-2-0-3,1-3-0-2,2000,3,2,0.00150000,0.00100000,1,0,-0.00050000,1.00000000,-0.080000,0.014677,12.005,1.091
confirmation,4.4,1-2-0-3,0-2-1-3,2000,3,3,0.00150000,0.00150000,1,1,0.00000000,1.00000000,0.450000,0.014624,19.893,1.058
confirmation,4.4,1-2-0-3,3-2-1-0,2000,3,3,0.00150000,0.00150000,2,2,0.00000000,1.00000000,0.494500,0.014903,23.052,1.077
confirmation,4.4,1-2-0-3,0-1-2-3,2000,3,1,0.00150000,0.00050000,2,0,-0.00100000,0.50000000,0.228500,0.014309,41.709,1.072
confirmation,4.4,1-0-3-2,1-3-0-2,2000,2,2,0.00100000,0.00100000,1,1,0.00000000,1.00000000,-0.068500,0.014405,6.828,1.080
confirmation,4.4,1-0-3-2,0-2-1-3,2000,2,3,0.00100000,0.00150000,0,1,0.00050000,1.00000000,0.461500,0.014260,14.716,1.040
confirmation,4.4,1-0-3-2,3-2-1-0,2000,2,3,0.00100000,0.00150000,0,1,0.00050000,1.00000000,0.506000,0.011382,17.875,0.830
confirmation,4.4,1-0-3-2,0-1-2-3,2000,2,1,0.00100000,0.00050000,1,0,-0.00050000,1.00000000,0.240000,0.015027,36.531,1.136
confirmation,4.4,1-3-0-2,0-2-1-3,2000,2,3,0.00100000,0.00150000,0,1,0.00050000,1.00000000,0.530000,0.011274,7.888,0.839
confirmation,4.4,1-3-0-2,3-2-1-0,2000,2,3,0.00100000,0.00150000,1,2,0.00050000,1.00000000,0.574500,0.014468,11.047,1.068
confirmation,4.4,1-3-0-2,0-1-2-3,2000,2,1,0.00100000,0.00050000,1,0,-0.00050000,1.00000000,0.308500,0.014151,29.703,1.083
confirmation,4.4,0-2-1-3,3-2-1-0,2000,3,3,0.00150000,0.00150000,1,1,0.00000000,1.00000000,0.044500,0.013887,3.159,0.986
confirmation,4.4,0-2-1-3,0-1-2-3,2000,3,1,0.00150000,0.00050000,2,0,-0.00100000,0.50000000,-0.221500,0.013868,21.816,1.041
confirmation,4.4,3-2-1-0,0-1-2-3,2000,3,1,0.00150000,0.00050000,2,0,-0.00100000,0.50000000,-0.266000,0.014823,18.656,1.107
confirmation_aggregate,4.2+4.4,1-3-2-0,1-2-3-0,4000,169,169,0.04225000,0.04225000,30,30,0.00000000,1.00000000,0.035750,0.010719,2.574,0.772
confirmation_aggregate,4.2+4.4,1-3-2-0,1-2-0-3,4000,169,178,0.04225000,0.04450000,28,37,0.00225000,0.32108414,0.049750,0.010953,10.769,0.794
confirmation_aggregate,4.2+4.4,1-3-2-0,1-0-3-2,4000,169,162,0.04225000,0.04050000,33,26,-0.00175000,0.43499281,0.028750,0.011063,16.402,0.809
confirmation_aggregate,4.2+4.4,1-3-2-0,1-3-0-2,4000,169,165,0.04225000,0.04125000,35,31,-0.00100000,0.71223088,-0.014500,0.010804,27.447,0.809
confirmation_aggregate,4.2+4.4,1-3-2-0,0-2-1-3,4000,169,195,0.04225000,0.04875000,22,48,0.00650000,0.00254756,0.486250,0.010931,27.387,0.785
confirmation_aggregate,4.2+4.4,1-3-2-0,3-2-1-0,4000,169,195,0.04225000,0.04875000,20,46,0.00650000,0.00185823,0.517000,0.011134,29.570,0.800
confirmation_aggregate,4.2+4.4,1-3-2-0,0-1-2-3,4000,169,180,0.04225000,0.04500000,26,37,0.00275000,0.20736790,0.265000,0.010810,56.091,0.809
confirmation_aggregate,4.2+4.4,1-2-3-0,1-2-0-3,4000,169,178,0.04225000,0.04450000,27,36,0.00225000,0.31350305,0.014000,0.010670,8.195,0.775
confirmation_aggregate,4.2+4.4,1-2-3-0,1-0-3-2,4000,169,162,0.04225000,0.04050000,34,27,-0.00175000,0.44262600,-0.007000,0.011706,13.828,0.857
confirmation_aggregate,4.2+4.4,1-2-3-0,1-3-0-2,4000,169,165,0.04225000,0.04125000,30,26,-0.00100000,0.68887976,-0.050250,0.011100,24.873,0.834
confirmation_aggregate,4.2+4.4,1-2-3-0,0-2-1-3,4000,169,195,0.04225000,0.04875000,18,44,0.00650000,0.00129900,0.450500,0.010991,24.812,0.789
confirmation_aggregate,4.2+4.4,1-2-3-0,3-2-1-0,4000,169,195,0.04225000,0.04875000,19,45,0.00650000,0.00156279,0.481250,0.011809,26.996,0.847
confirmation_aggregate,4.2+4.4,1-2-3-0,0-1-2-3,4000,169,180,0.04225000,0.04500000,1,12,0.00275000,0.00341797,0.229250,0.006851,53.517,0.522
confirmation_aggregate,4.2+4.4,1-2-0-3,1-0-3-2,4000,178,162,0.04450000,0.04050000,37,21,-0.00400000,0.04794032,-0.021000,0.011371,5.633,0.836
confirmation_aggregate,4.2+4.4,1-2-0-3,1-3-0-2,4000,178,165,0.04450000,0.04125000,40,27,-0.00325000,0.14207138,-0.064250,0.011405,16.678,0.856
confirmation_aggregate,4.2+4.4,1-2-0-3,0-2-1-3,4000,178,195,0.04450000,0.04875000,27,44,0.00425000,0.05681468,0.436500,0.011397,16.617,0.828
confirmation_aggregate,4.2+4.4,1-2-0-3,3-2-1-0,4000,178,195,0.04450000,0.04875000,22,39,0.00425000,0.03961701,0.467250,0.011413,18.801,0.830
confirmation_aggregate,4.2+4.4,1-2-0-3,0-1-2-3,4000,178,180,0.04450000,0.04500000,33,35,0.00050000,0.90359735,0.215250,0.010852,45.322,0.816
confirmation_aggregate,4.2+4.4,1-0-3-2,1-3-0-2,4000,162,165,0.04050000,0.04125000,27,30,0.00075000,0.79136643,-0.043250,0.010891,11.045,0.820
confirmation_aggregate,4.2+4.4,1-0-3-2,0-2-1-3,4000,162,195,0.04050000,0.04875000,17,50,0.00825000,0.00006738,0.457500,0.010861,10.985,0.800
confirmation_aggregate,4.2+4.4,1-0-3-2,3-2-1-0,4000,162,195,0.04050000,0.04875000,0,33,0.00825000,0.00000000,0.488250,0.008014,13.168,0.600
confirmation_aggregate,4.2+4.4,1-0-3-2,0-1-2-3,4000,162,180,0.04050000,0.04500000,23,41,0.00450000,0.03276576,0.236250,0.011663,39.689,0.880
confirmation_aggregate,4.2+4.4,1-3-0-2,0-2-1-3,4000,165,195,0.04125000,0.04875000,1,31,0.00750000,0.00000002,0.500750,0.008024,-0.060,0.629
confirmation_aggregate,4.2+4.4,1-3-0-2,3-2-1-0,4000,165,195,0.04125000,0.04875000,18,48,0.00750000,0.00028712,0.531500,0.011036,2.123,0.841
confirmation_aggregate,4.2+4.4,1-3-0-2,0-1-2-3,4000,165,180,0.04125000,0.04500000,20,35,0.00375000,0.05806415,0.279500,0.011107,28.644,0.848
confirmation_aggregate,4.2+4.4,0-2-1-3,3-2-1-0,4000,195,195,0.04875000,0.04875000,33,33,0.00000000,1.00000000,0.030750,0.010670,2.183,0.758
confirmation_aggregate,4.2+4.4,0-2-1-3,0-1-2-3,4000,195,180,0.04875000,0.04500000,37,22,-0.00375000,0.06744461,-0.221250,0.010885,28.705,0.830
confirmation_aggregate,4.2+4.4,3-2-1-0,0-1-2-3,4000,195,180,0.04875000,0.04500000,39,24,-0.00375000,0.07692583,-0.252000,0.011711,26.521,0.891
