stage,profile,config_name,EbN0_dB,seed_base,seed_count,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,blocks,requested_blocks,completed_requested_blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,max_iterations_observed,fraction_reaching_max_iterations,expected_latency_cycles,syndrome_pass_count,convergence_failures,undetected_errors,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count,saturation_block_fraction,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,saturation_rule,screen_rank,screen_quality_pass,screen_retained_top5,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_expected_latency_cycles
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,1-3-0-2,75,8,8,True,1,76,500,500,True,37,0.07400000,0.05416118,0.10033475,2830,0.0006699811,8.312000,0.085111,12,0.100000,631.712,462,38,0,2782,0,149,4796910,372571,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,5,True,True,1500,37,0.02466667,460.205
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,1-3-0-2,75,8,8,True,1,76,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.102000,0.056618,12,0.002000,463.752,500,0,0,5013,0,313,5997179,743826,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,5,True,True,1500,37,0.02466667,460.205
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,1-3-0-2,75,8,8,True,1,76,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,3.752000,0.025579,6,0.000000,285.152,500,0,0,19688,0,910,6368257,1040962,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,5,True,True,1500,37,0.02466667,460.205
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,0-2-1-3,70,8,8,True,1,71,500,500,True,43,0.08600000,0.06447314,0.11383981,3182,0.0007533144,8.792000,0.079285,12,0.124000,624.232,455,45,0,2782,0,166,4907381,410811,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,6,True,False,1500,43,0.02866667,464.151
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,0-2-1-3,70,8,8,True,1,71,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.582000,0.057106,12,0.006000,467.322,500,0,0,5013,0,470,5875683,730551,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,6,True,False,1500,43,0.02866667,464.151
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,0-2-1-3,70,8,8,True,1,71,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.238000,0.022174,6,0.000000,300.898,500,0,0,19688,0,640,6006604,875343,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,6,True,False,1500,43,0.02866667,464.151
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,3-2-1-0,70,8,8,True,1,71,500,500,True,49,0.09800000,0.07492392,0.12720605,3333,0.0007890625,8.818000,0.082068,12,0.136000,626.078,450,50,0,2782,0,277,5175900,581899,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,7,True,False,1500,49,0.03266667,466.517
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,3-2-1-0,70,8,8,True,1,71,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.612000,0.055145,12,0.002000,469.452,500,0,0,5013,0,291,6185941,824189,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,7,True,False,1500,49,0.03266667,466.517
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,3-2-1-0,70,8,8,True,1,71,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.282000,0.023109,6,0.000000,304.022,500,0,0,19688,0,701,6539944,1176768,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,7,True,False,1500,49,0.03266667,466.517
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,3-1-2-0,73,8,8,True,1,74,500,500,True,47,0.09400000,0.07142641,0.12276456,3168,0.0007500000,8.612000,0.083815,12,0.126000,637.288,450,50,0,2782,0,142,5200343,538259,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,8,True,False,1500,47,0.03133333,467.384
