label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
A_g0.337_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,99,0.0029296875,12.000000,0.000000,0.000000,12,1.000000,0,0,4,412,0,0,0,1.000000,103.000000,4,0,412,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.337,6,17.804154,0-2-1-3,200,4,True,71
A_g0.337_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,99,0.0029296875,12.000000,0.000000,0.000000,12,1.000000,0,0,4,412,0,0,0,1.000000,103.000000,4,0,412,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.337,7,20.771513,0-2-1-3,200,4,True,71
A_g0.395_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,4.750000,0.478714,4.750000,6,0.000000,0,4,0,2007,0,0,3,1.000000,502.500000,0,4,0,2010,337.250,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,0,0.000000,0-2-1-3,200,4,True,71
A_g0.395_b1,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,121,0.0035807292,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,1,2.531646,0-2-1-3,200,4,True,71
A_g0.395_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,114,0.0033735795,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,2,5.063291,0-2-1-3,200,4,True,71
A_g0.395_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,114,0.0033735795,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,3,7.594937,0-2-1-3,200,4,True,71
A_g0.395_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,114,0.0033735795,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,4,10.126582,0-2-1-3,200,4,True,71
A_g0.395_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,114,0.0033735795,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,5,12.658228,0-2-1-3,200,4,True,71
A_g0.395_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,114,0.0033735795,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,6,15.189873,0-2-1-3,200,4,True,71
A_g0.395_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,114,0.0033735795,12.000000,0.000000,0.000000,12,1.000000,0,0,4,2007,0,0,0,1.000000,501.750000,4,0,2007,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.395,7,17.721519,0-2-1-3,200,4,True,71
A_g0.436_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,4.250000,0.250000,4.250000,5,0.000000,0,4,0,4021,0,0,0,1.000000,1005.250000,0,4,0,4021,301.750,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,0,0.000000,0-2-1-3,200,4,True,71
A_g0.436_b1,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,1,2.293578,0-2-1-3,200,4,True,71
A_g0.436_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,119,0.0035215436,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,2,4.587156,0-2-1-3,200,4,True,71
A_g0.436_b3,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,119,0.0035215436,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,3,6.880734,0-2-1-3,200,4,True,71
A_g0.436_b4,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,119,0.0035215436,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,4,9.174312,0-2-1-3,200,4,True,71
A_g0.436_b5,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,119,0.0035215436,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,5,11.467890,0-2-1-3,200,4,True,71
A_g0.436_b6,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,119,0.0035215436,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,6,13.761468,0-2-1-3,200,4,True,71
A_g0.436_b7,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,119,0.0035215436,12.000000,0.000000,0.000000,12,1.000000,0,0,4,4021,0,0,0,1.000000,1005.250000,4,0,4021,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.436,7,16.055046,0-2-1-3,200,4,True,71
A_g0.5_b0,fixed,4.9,4,0,0.00000000,0.00000000,0.48989084,0,0.0000000000,4.750000,0.250000,4.750000,5,0.000000,0,4,0,8104,0,0,2130,1.000000,2558.500000,0,4,0,10234,337.250,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,0,0.000000,0-2-1-3,200,4,True,71
A_g0.5_b1,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,158,0.0046756629,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,1,2.000000,0-2-1-3,200,4,True,71
A_g0.5_b2,fixed,4.9,4,4,1.00000000,0.51010916,1.00000000,134,0.0039654356,12.000000,0.000000,0.000000,12,1.000000,0,0,4,8104,0,0,0,1.000000,2026.000000,4,0,8104,0,852.000,852,beta_scale_calibration,BG1_first4_high_rate,A,4,6,6,5,0.5,2,4.000000,0-2-1-3,200,4,True,71
