label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,q_sub_saturation_count,min_input_clip_count,app_add_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,candidate,w_CH,w_APP,w_q,w_M,channel_gain,beta,beta_equiv,layer_order,requested_stop_errors,requested_stop_blocks,requested_stop_completed,iteration_boundary_cycles
F,fixed,4.5,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,6.200000,0.414221,6.200000,12,0.050000,0,20,0,89400,44,280147,57832,1.000000,21371.150000,0,20,0,427423,440.200,852,high_rate_sweep,BG1_first4_high_rate,F,6,8,8,6,3.0,1,0.333333,0-2-1-3,200,20,True,71
G,fixed,4.5,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,6.200000,0.414221,6.200000,12,0.050000,0,20,0,89400,0,7128,139,1.000000,4833.350000,0,20,0,96667,440.200,852,high_rate_sweep,BG1_first4_high_rate,G,6,9,9,7,3.0,1,0.333333,0-2-1-3,200,20,True,71
WIDE,fixed,4.5,20,1,0.05000000,0.00888145,0.23613119,81,0.0004794034,6.100000,0.396697,5.789474,12,0.050000,0,19,1,0,0,0,0,0.000000,0.000000,0,0,0,0,433.100,852,high_rate_sweep,BG1_first4_high_rate,WIDE,8,12,12,10,4.0,1,0.250000,0-2-1-3,200,20,True,71
float,float,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.200000,0.116980,4.200000,5,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,0,0,0,0,298.200,852,high_rate_sweep,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,20,True,71
A,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.650000,0.166623,4.650000,6,0.000000,0,20,0,112504,33,0,73039,1.000000,9278.800000,0,20,0,185576,330.150,852,high_rate_sweep,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
B,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.650000,0.166623,4.650000,6,0.000000,0,20,0,112504,0,6060,98,1.000000,5933.100000,0,20,0,118662,330.150,852,high_rate_sweep,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
C,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.400000,0.133771,4.400000,6,0.000000,0,20,0,142772,116,0,75916,1.000000,10940.200000,0,20,0,218804,312.400,852,high_rate_sweep,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
D,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.400000,0.133771,4.400000,6,0.000000,0,20,0,142772,0,7364,10,1.000000,7507.300000,0,20,0,150146,312.400,852,high_rate_sweep,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
E,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.400000,0.133771,4.400000,6,0.000000,0,20,0,142772,0,7364,10,1.000000,7507.300000,0,20,0,150146,312.400,852,high_rate_sweep,BG1_first4_high_rate,E,5,8,9,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
F,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.150000,0.109424,4.150000,5,0.000000,0,20,0,104893,9,192122,25555,1.000000,16128.950000,0,20,0,322579,294.650,852,high_rate_sweep,BG1_first4_high_rate,F,6,8,8,6,3.0,1,0.333333,0-2-1-3,200,20,True,71
G,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.150000,0.109424,4.150000,5,0.000000,0,20,0,104893,0,300,0,1.000000,5259.650000,0,20,0,105193,294.650,852,high_rate_sweep,BG1_first4_high_rate,G,6,9,9,7,3.0,1,0.333333,0-2-1-3,200,20,True,71
WIDE,fixed,4.9,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,4.200000,0.116980,4.200000,5,0.000000,0,20,0,3,0,0,0,0.100000,0.150000,0,2,0,3,298.200,852,high_rate_sweep,BG1_first4_high_rate,WIDE,8,12,12,10,4.0,1,0.250000,0-2-1-3,200,20,True,71
float,float,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.350000,0.109424,3.350000,4,0.000000,0,20,0,0,0,0,0,0.000000,0.000000,0,0,0,0,237.850,852,high_rate_sweep,BG1_first4_high_rate,float,,,,,,0.25,,0-2-1-3,200,20,True,71
A,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.500000,0.135724,3.500000,5,0.000000,0,20,0,126655,168,0,103529,1.000000,11517.600000,0,20,0,230352,248.500,852,high_rate_sweep,BG1_first4_high_rate,A,4,6,6,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
B,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.500000,0.135724,3.500000,5,0.000000,0,20,0,126655,0,12522,356,1.000000,6976.650000,0,20,0,139533,248.500,852,high_rate_sweep,BG1_first4_high_rate,B,4,7,7,5,0.75,0,0.000000,0-2-1-3,200,20,True,71
C,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.500000,0.114708,3.500000,4,0.000000,0,20,0,152508,58,0,93198,1.000000,12288.200000,0,20,0,245764,248.500,852,high_rate_sweep,BG1_first4_high_rate,C,5,7,7,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
D,fixed,5.3,20,0,0.00000000,0.00000000,0.16112516,0,0.0000000000,3.500000,0.114708,3.500000,4,0.000000,0,20,0,152508,0,3513,0,1.000000,7801.050000,0,20,0,156021,248.500,852,high_rate_sweep,BG1_first4_high_rate,D,5,8,8,6,2.0,1,0.500000,0-2-1-3,200,20,True,71
