label,model,EbN0_dB,blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,avg_success_iterations,max_iterations_observed,fraction_reaching_max_iterations,undetected_errors,syndrome_pass_count,convergence_failures,channel_saturation_count,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,min_input_clip_count,check_magnitude_clip_count,app_add_saturation_count,app_update_saturation_count,saturation_block_fraction,saturation_events_per_block,saturation_error_blocks,saturation_clean_blocks,saturation_error_events,saturation_clean_events,expected_core_cycles,worst_configured_core_cycles,stage,profile,config_name,layer_order,decoder_cycles_per_iteration,syndrome_tail,effective_iteration_boundary,expected_latency_cycles,saturation_rule,requested_blocks,completed_requested_blocks,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv
F1,fixed,4.2,1000,92,0.09200000,0.07561390,0.11150874,6737,0.0007974669,8.297000,0.062982,7.921806,12,0.117000,0,908,92,5740,5740,0,396,9258938,9258938,799233,799233,1.000000,10064.307000,92,908,224764,9839543,630.572,852,saturation_rule_comparison,BG1_first4_high_rate,F1,1-3-0-2,75,1,76,630.572,asymmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F1,fixed,4.2,1000,92,0.09200000,0.07561390,0.11150874,6737,0.0007974669,8.297000,0.062982,7.921806,12,0.117000,0,908,92,5740,5740,0,396,9258938,9258938,799233,799233,1.000000,10064.307000,92,908,224764,9839543,630.572,852,saturation_rule_comparison,BG1_first4_high_rate,F1,1-3-0-2,75,1,76,630.572,symmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F2,fixed,4.2,1000,93,0.09300000,0.07652373,0.11259126,8427,0.0009975142,8.297000,0.064179,7.908287,12,0.120000,0,905,95,65246,65246,0,2789,21473756,21473756,2451949,2451949,1.000000,23993.740000,93,907,970772,23022968,630.572,852,saturation_rule_comparison,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,630.572,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
F2,fixed,4.2,1000,93,0.09300000,0.07652373,0.11259126,8427,0.0009975142,8.297000,0.064179,7.908287,12,0.120000,0,905,95,65246,65246,0,2789,21473756,21473756,2451949,2451949,1.000000,23993.740000,93,907,970772,23022968,630.572,852,saturation_rule_comparison,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,630.572,symmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
F1,fixed,4.4,1000,3,0.00300000,0.00102078,0.00878301,26,0.0000030777,5.987000,0.038786,5.968907,12,0.004000,0,997,3,10266,10266,0,566,10865465,10865465,1116685,1116685,1.000000,11992.982000,3,997,19358,11973624,455.012,852,saturation_rule_comparison,BG1_first4_high_rate,F1,1-3-0-2,75,1,76,455.012,asymmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F1,fixed,4.4,1000,3,0.00300000,0.00102078,0.00878301,26,0.0000030777,5.987000,0.038786,5.968907,12,0.004000,0,997,3,10266,10266,0,566,10865465,10865465,1116685,1116685,1.000000,11992.982000,3,997,19358,11973624,455.012,852,saturation_rule_comparison,BG1_first4_high_rate,F1,1-3-0-2,75,1,76,455.012,symmetric,1000,True,6,8,8,6,1.32,1,1,0.378788
F2,fixed,4.4,1000,4,0.00400000,0.00155659,0.01023956,93,0.0000110085,5.953000,0.039980,5.928715,12,0.007000,0,996,4,99283,99283,0,4159,22086978,22086978,3179239,3179239,1.000000,25369.659000,4,996,66537,25303122,452.428,852,saturation_rule_comparison,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,452.428,asymmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
F2,fixed,4.4,1000,4,0.00400000,0.00155659,0.01023956,93,0.0000110085,5.953000,0.039980,5.928715,12,0.007000,0,996,4,99283,99283,0,4159,22086978,22086978,3179239,3179239,1.000000,25369.659000,4,996,66537,25303122,452.428,852,saturation_rule_comparison,BG1_first4_high_rate,F2,1-3-0-2,75,1,76,452.428,symmetric,1000,True,6,8,8,6,1.542,1,1,0.324254
